"country","strike_id","date","location","area","type_of_attack","confirmed_possible_us_strike","air_strike_","drone_strike","min_strikes","max_strikes","min_people_killed","max_people_killed","min_civilians_killed","max_civilians_killed","min_children_killed","max_children_killed","min_people_injured","max_people_injured","strike_link","extra","year","house_majority_party","senate_majority_party","presidential_party","unified_","index","med_strikes","med_people_killed","med_civilians_killed","med_children_killed","med_people_injured","legislative_unified_","min_military_killed","max_military_killed","med_military_killed"
"Yemen","YEM001",2002-11-03,"Unknown","Marib","Drone strike","Confirmed",1,1,1,1,6,6,0,0,0,0,0,0,"YEM001",NA,2002,"Republican","Democrat","Republican","No",NA,1,6,0,0,0,"No",6,6,6
"Yemen","YEM002",2009-12-17,"Al Majala","Abyan","Cruise missile strike","Confirmed",0,0,1,1,55,58,44,44,21,22,9,9,"YEM002",NA,2009,"Democrat","Democrat","Democrat","Democrat",NA,1,56.5,44,21.5,9,"Democrat",11,14,12.5
"Yemen","YEM003",2009-12-17,"Arhab","Sanaa","US-Yemen ground operation
Possible drone strike","Confirmed",0,0,1,1,0,0,0,0,0,0,0,0,"YEM003",NA,2009,"Democrat","Democrat","Democrat","Democrat",NA,1,0,0,0,0,"Democrat",0,0,0
"Yemen","YEM004",2009-12-24,"Rafd","Shabwa","Airstrike
Possible cruise missile strike","Confirmed",1,0,1,1,30,34,0,0,0,0,0,0,"YEM004",NA,2009,"Democrat","Democrat","Democrat","Democrat",NA,1,32,0,0,0,"Democrat",30,34,32
"Yemen","YEM005",2010-01-12,"Unknown","Shabwa","Yemen ground operation
Possible US assistance","Possible",0,0,1,1,1,2,0,0,0,0,0,0,"YEM005",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,1,1.5,0,0,0,"Democrat",1,2,1.5
"Yemen","YEM006",2010-01-15,"Al Ajashir","Saada","Airstrike","Possible",1,0,1,1,0,6,0,0,0,0,0,0,"YEM006",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,1,3,0,0,0,"Democrat",0,6,3
"Yemen","YEM007",2010-01-20,"Erq al Shawan","Marib","Airstrike","Possible",1,0,4,4,2,2,0,0,0,0,0,0,"YEM007",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,4,2,0,0,0,"Democrat",2,2,2
"Yemen","YEM008",2010-01-31,"N/A","Across Yemen","US ground operations","Possible",0,0,24,24,0,0,0,0,0,0,0,0,"YEM008",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,24,0,0,0,0,"Democrat",0,0,0
"Yemen","YEM009",2010-03-14,"Jeezat al Qotn
Moudia district","Abyan","Airstrike","Confirmed",1,0,1,1,2,3,0,0,0,0,0,0,"YEM009",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,1,2.5,0,0,0,"Democrat",2,3,2.5
"Yemen","YEM010",2010-03-15,"Moudia","Abyan","Airstrike","Possible",1,0,1,1,7,20,0,20,0,0,0,0,"YEM010",NA,2010,"Democrat","Democrat","Democrat","Democrat",NA,1,13.5,10,0,0,"Democrat",7,0,3.5
