"Strike ID","Date","Location","Area","Minimum people killed","Maximum people killed","Minimum civilians killed","Maximum civilians killed","Minimum children killed","Maximum children killed","Minimum people injured","Maximum people injured","Strike link","extra","Index","Year","House Majority Party","Senate Majority Party","Presidential Party","Unified?"
"B1",2004-06-17,"Wana","South Waziristan",6,8,2,2,2,2,1,1,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B1","http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#","1",2004,"Republican","Republican","Republican","Republican"
"B2",2005-05-08,"Toorikhel","North Waziristan",2,2,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B2",NA,"2",2005,"Republican","Republican","Republican","Republican"
"B3",2005-11-05,"Mosaki","North Waziristan",8,8,3,8,2,3,1,1,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B3",NA,"3",2005,"Republican","Republican","Republican","Republican"
"B4",2005-12-01,"Haisori","North Waziristan",6,6,2,3,2,2,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B4",NA,"4",2005,"Republican","Republican","Republican","Republican"
"B5",2006-01-13,"Damadola","Bajaur Agency",13,22,10,18,5,6,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B5",NA,"5",2006,"Republican","Republican","Republican","Republican"
"B6",2006-10-30,"Chenegai","Bajaur Agency",81,83,80,82,68,70,3,3,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B6",NA,"6",2006,"Republican","Republican","Republican","Republican"
"B7",2007-01-16,"Zamazola","South Waziristan",8,8,8,8,1,1,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B7",NA,"7",2007,"Democrat","Democrat","Republican","No"
"B8",2007-04-27,"Saidgai","North Waziristan",3,4,3,4,0,0,3,9,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B8",NA,"8",2007,"Democrat","Democrat","Republican","No"
"B9",2007-06-19,"Mami Rogha","North Waziristan",20,34,0,34,0,0,10,15,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B9",NA,"9",2007,"Democrat","Democrat","Republican","No"
"B10",2007-11-02,"Danda Darpakhel","North Waziristan",5,10,0,0,0,0,6,12,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B10",NA,"10",2007,"Democrat","Democrat","Republican","No"
