"Strike ID","Date","Location","Confirmed/
possible US strike","Air strike?","Drone strike","Strike type","Minimum strikes","Maximum strikes","Minimum people killed","Maximum people killed","Minimum civilians killed","Maximum civilians killed","Minimum children killed","Maximum children killed","Minimum people injured","Maximum people injured","Strike link","extra","Year","House Majority Party","Senate Majority Party","Presidential Party","Unified?"
"SOM001",2007-01-07,"Ras Kamboni","Confirmed",1,0,"Air assault - AC-130 Gunship",1,1,8,10,2,2,0,1,1,3,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM001","http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#",2007,"Democrat","Democrat","Republican","No"
"SOM002",2007-01-09,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni","Confirmed",1,0,"Air assault - AC-130 Gunship",1,1,5,10,0,0,0,0,4,5,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM002",NA,2007,"Democrat","Democrat","Republican","No"
"SOM003",2007-01-09,"Hayo","Possible",1,0,"Air assault - helicopter",1,1,4,31,4,31,0,1,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM003",NA,2007,"Democrat","Democrat","Republican","No"
"SOM004",2007-01-23,"Waldena","Confirmed",1,0,"Air assault - AC-130 Gunship
Ground operation - capture mission",1,1,8,8,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM004",NA,2007,"Democrat","Democrat","Republican","No"
"SOM005",2007-06-01,"Bargal","Confirmed",0,0,"Naval operation - USS Chafee shore bombardment",1,1,8,12,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM005",NA,2007,"Democrat","Democrat","Republican","No"
"SOM006",2008-03-03,"Dhobley","Confirmed",0,0,"Naval operation - cruise missile
Possible air operation - AC-130 Gunship",1,1,0,6,0,4,0,0,3,8,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM006",NA,2008,"Democrat","Democrat","Republican","No"
"SOM007",2008-05-01,"Dusa Marreb","Confirmed",0,0,"Naval operation - cruise missiles
Possible air assault - AC-130 Gunship",1,1,8,15,5,10,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM007",NA,2008,"Democrat","Democrat","Republican","No"
"SOM008",2009-09-14,"Barawe","Confirmed",1,0,"Air operation - helicopter
Ground assault - body retrieval",1,1,2,6,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM008",NA,2009,"Democrat","Democrat","Democrat","Democrat"
"SOM009",2011-04-03,"Dhobley","Possible",1,0,"Air operation - airstrike",1,1,1,36,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM009",NA,2011,"Republican","Democrat","Democrat","No"
"SOM010",2011-06-23,"Kismayo","Confirmed",1,1,"Air operation - drone strike
Helicopter raid",1,1,2,2,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM010",NA,2011,"Republican","Democrat","Democrat","No"
"SOM011",2011-07-06,"Juba","Possible",1,1,"Air operation - drone or airstrike",1,1,0,0,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM011",NA,2011,"Republican","Democrat","Democrat","No"
"SOM012",2011-09-25,"Kismayo","Possible",1,1,"Air operation - drone strike",1,1,0,0,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM012",NA,2011,"Republican","Democrat","Democrat","No"
"SOM013",2011-11-14,"Afgoye","Possible",1,1,"Air operation - drone strike",1,1,0,2,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM013",NA,2011,"Republican","Democrat","Democrat","No"
"SOM014",2012-01-21,"Elasha Biyaha","Confirmed",1,1,"Air operation - drone strike",1,1,1,1,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM014",NA,2012,"Republican","Democrat","Democrat","No"
"SOM015",2012-02-24,"Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,3,7,0,1,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM015",NA,2012,"Republican","Democrat","Democrat","No"
"SOM016",2012-04-17,"Gumh, Puntland","Possible",1,0,"Air operation - airstrike",1,1,0,0,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM016",NA,2012,"Republican","Democrat","Democrat","No"
"SOM017",2013-10-05,"Barawe, Shabeellaha Hoose","Confirmed",0,0,"Ground operation - amphibious assault",1,1,1,7,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM017",NA,2013,"Republican","Democrat","Democrat","No"
"SOM018",2013-10-28,"Jillib, Middle Juba","Confirmed",1,1,"Air operation - drone strike",1,1,2,3,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM018",NA,2013,"Republican","Democrat","Democrat","No"
"SOM019",2014-01-26,"Hawai, Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,2,9,0,2,0,2,0,1,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM019",NA,2014,"Republican","Democrat","Democrat","No"
"SOM020",2014-08-01,"Barawe, Lower Shabelle","Confirmed",1,1,"Air operation - drone strike",1,1,6,6,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM020",NA,2014,"Republican","Democrat","Democrat","No"
"SOM021",2014-12-29,"Saakow","Confirmed",1,1,"Air operation - drone strike",1,1,2,3,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM021",NA,2014,"Republican","Democrat","Democrat","No"
