"Strike ID","Date","Location","Province","Type of attack","Confirmed/
possible US attack?","Air operation?","Drone strike","Minimum strikes","Maximum strikes","Minimum people killed","Maximum people killed","Minimum civilians killed","Maximum civilians killed","Minimum children killed","Maximum children killed","Minimum people injured","Maximum people injured","Strike link","extra","Year","House Majority Party","Senate Majority Party","Presidential Party","Unified?"
"YEM001",2002-11-03,"Unknown","Marib","Drone strike","Confirmed",1,1,1,1,6,6,0,0,0,0,0,0,"YEM001",NA,2002,"Republican","Democrat","Republican","No"
"YEM002",2009-12-17,"Al Majala","Abyan","Cruise missile strike","Confirmed",0,0,1,1,55,58,44,44,21,22,9,9,"YEM002",NA,2009,"Democrat","Democrat","Democrat","Democrat"
"YEM003",2009-12-17,"Arhab","Sanaa","US-Yemen ground operation
Possible drone strike","Confirmed",0,0,1,1,0,0,0,0,0,0,0,0,"YEM003",NA,2009,"Democrat","Democrat","Democrat","Democrat"
"YEM004",2009-12-24,"Rafd","Shabwa","Airstrike
Possible cruise missile strike","Confirmed",1,0,1,1,30,34,0,0,0,0,0,0,"YEM004",NA,2009,"Democrat","Democrat","Democrat","Democrat"
"YEM005",2010-01-12,"Unknown","Shabwa","Yemen ground operation
Possible US assistance","Possible",0,0,1,1,1,2,0,0,0,0,0,0,"YEM005",NA,2010,"Democrat","Democrat","Democrat","Democrat"
"YEM006",2010-01-15,"Al Ajashir","Saada","Airstrike","Possible",1,0,1,1,0,6,0,0,0,0,0,0,"YEM006",NA,2010,"Democrat","Democrat","Democrat","Democrat"
"YEM007",2010-01-20,"Erq al Shawan","Marib","Airstrike","Possible",1,0,4,4,2,2,0,0,0,0,0,0,"YEM007",NA,2010,"Democrat","Democrat","Democrat","Democrat"
"YEM008",2010-01-31,"N/A","Across Yemen","US ground operations","Possible",0,0,24,24,0,0,0,0,0,0,0,0,"YEM008",NA,2010,"Democrat","Democrat","Democrat","Democrat"
"YEM009",2010-03-14,"Jeezat al Qotn
Moudia district","Abyan","Airstrike","Confirmed",1,0,1,1,2,3,0,0,0,0,0,0,"YEM009",NA,2010,"Democrat","Democrat","Democrat","Democrat"
"YEM010",2010-03-15,"Moudia","Abyan","Airstrike","Possible",1,0,1,1,7,20,0,20,0,0,0,0,"YEM010",NA,2010,"Democrat","Democrat","Democrat","Democrat"
